id_bv;num_circ;nom_quartier;num_arrond;nb_procu;nb_inscr;nb_abscent;taux_ab;nb_emarg;nb_votant;nb_bl;nb_nul;nb_exprim;NB_ExtGauche;NB_Gauche;NB_Centre;NB_Droite;NB_ExtDroite;NB_Divers
02_20;1;Bonne-Nouvelle;2;179;1394;321;23,03%;1073;1073;11;2;1060;5;516;413;46;34;6
03_21;5;Enfants-Rouges;3;171;1439;344;23,91%;1095;1095;7;7;1081;3;459;481;57;81;0
03_22;5;Enfants-Rouges;3;215;1580;356;22,53%;1226;1224;4;6;1214;7;595;477;59;76;0
03_23;5;Enfants-Rouges;3;210;1287;287;22,30%;999;1000;4;4;992;1;446;436;46;63;0
03_24;5;Enfants-Rouges;3;193;1428;323;22,62%;1105;1105;7;2;1096;3;452;501;56;84;0
03_25;5;Archives;3;198;1496;332;22,19%;1163;1164;3;2;1159;1;485;512;66;95;0
03_26;5;Enfants-Rouges;3;178;1312;298;22,71%;1014;1014;7;1;1006;7;409;450;48;92;0
03_27;5;Archives;3;203;1483;306;20,63%;1176;1177;6;2;1169;0;479;524;62;104;0
03_28;5;Archives;3;174;1355;292;21,55%;1063;1063;6;2;1055;2;399;485;70;99;0
03_29;5;Sainte-Avoye;3;154;1633;456;27,92%;1177;1177;10;6;1161;9;507;449;64;132;0
03_30;5;Sainte-Avoye;3;190;1702;440;25,85%;1261;1262;5;4;1253;3;602;472;64;112;0
03_31;5;Sainte-Avoye;3;197;1570;363;23,12%;1207;1207;10;6;1191;4;520;502;53;112;0
03_32;5;Arts-et-Métiers;3;157;1496;421;28,14%;1075;1075;8;1;1066;4;503;433;49;77;0
03_33;5;Arts-et-Métiers;3;218;1535;408;26,58%;1126;1127;2;4;1121;2;549;439;53;78;0
03_34;5;Arts-et-Métiers;3;235;1659;365;22,00%;1294;1294;11;5;1278;7;626;507;44;94;0
03_35;5;Arts-et-Métiers;3;186;1471;353;24,00%;1118;1118;8;5;1105;5;472;450;69;109;0
04_36;7;Saint-Gervais;4;232;1705;361;21,17%;1344;1344;5;3;1336;3;734;446;50;103;0
04_37;7;Saint-Gervais;4;240;1568;355;22,64%;1213;1213;9;4;1200;4;649;402;52;93;0
04_38;7;Saint-Gervais;4;221;1728;371;21,47%;1356;1357;11;6;1340;6;715;442;65;112;0
04_39;7;Saint-Gervais;4;211;1682;384;22,83%;1298;1298;7;3;1288;6;770;389;38;85;0
04_40;7;Saint-Gervais;4;217;1539;298;19,36%;1241;1241;7;2;1232;2;541;506;69;114;0
04_41;7;Arsenal;4;217;1549;279;18,01%;1270;1270;7;9;1254;3;598;489;61;103;0
04_42;7;Arsenal;4;181;1654;387;23,40%;1264;1267;14;6;1247;5;662;421;48;111;0
04_43;7;Arsenal;4;176;1514;366;24,17%;1148;1148;7;1;1140;3;618;381;59;79;0
04_44;7;Notre-Dame;4;270;1813;421;23,22%;1392;1392;7;3;1382;9;751;483;59;80;0
04_45;7;Notre-Dame;4;232;1801;409;22,71%;1392;1392;8;2;1382;2;761;437;70;112;0
04_46;7;Saint-Gervais;4;246;1814;405;22,33%;1409;1409;13;5;1391;9;715;491;68;108;0
04_47;7;Saint-Gervais;4;227;1843;445;24,15%;1398;1398;5;4;1389;3;837;387;50;112;0
04_48;7;Saint-Merri;4;229;1608;345;21,46%;1263;1263;11;3;1249;3;642;421;63;120;0
04_49;7;Saint-Gervais;4;145;1618;419;25,90%;1199;1199;14;5;1180;14;742;292;30;102;0
04_50;7;Saint-Gervais;4;205;1717;403;23,47%;1314;1314;9;4;1301;7;703;428;59;104;0
