id_bv;Niveau de pauvreté;Niveau de participation;Cluster
13_26;2.976558517616314;-1.404827384319532;2
13_27;3.326679279211687;-1.094349548578792;2
13_28;2.1059243111678234;0.12045966270686555;1
13_29;1.6116099133051234;-4.181494685323574;2
13_30;2.5540163624121064;-0.6516210154034899;2
13_31;1.1678500291450593;-0.13028228992699778;1
13_32;3.629526797031121;-1.3015519423109407;2
13_33;2.222884899790433;-3.5682275442272315;2
13_34;1.9668491770581593;0.1882480158812533;1
13_35;1.5928418298754508;-0.2533282996350578;1
13_36;0.5084917457643691;0.9477697769908598;1
13_37;4.309014415335352;-4.263826721549133;2
13_38;0.9576625907923154;-2.7796519272732;2
13_39;3.3859713396476474;-2.724136237331832;2
13_40;1.402385778528015;2.4832691628552097;1
13_41;3.078213118367617;-0.38560801320515875;2
13_42;3.6605565773754187;-4.551471297157971;2
13_43;3.015087318007641;-0.8222438175309741;2
13_44;3.2289686317098214;-3.6343982334254505;2
13_45;3.0317062725386608;-3.6823599704780148;2
13_46;1.4899852241023408;-4.120402173864445;2
13_47;2.554875506793969;-0.23877791678962315;2
13_48;2.7648866961489067;-0.6375760174713843;2
13_49;2.0591151535268555;2.4258658867192175;1
13_50;1.4648823820239185;2.5113504375550355;1
13_51;1.6268951986462292;0.06387990775048936;1
13_52;0.2684232126419638;1.0701316123766524;1
13_53;2.21981613759853;-1.9337053715496608;2
13_54;2.842546791029948;0.30861570788952897;1
13_55;1.3128147041870348;-1.1635159229895191;2
13_56;1.2280379053835198;0.8828877534358066;1
13_57;1.4768918507129254;1.632952806728118;1
13_58;1.7962358603194324;2.578707503281459;1
13_59;1.4332463419597012;0.7180553937561815;1
13_60;1.7497280612925212;0.011810402129872595;1
13_61;0.8199294715077994;2.3523200252624448;1
13_62;0.9253697221326388;1.2234473823623218;1
13_63;-1.1969850169064262;1.7072067378561417;1
13_64;0.6579706580588469;0.46629908804542347;1
13_65;0.818825014227417;3.1022590595478947;1
13_66;0.6145039696633938;2.273216346960209;1
13_67;0.640691639251957;1.7995686724364854;1
13_68;2.5183784423354196;0.45782453936193745;1
13_69;1.2458425438509906;0.9092487529632152;1
13_70;1.2543615894732125;-0.9942467892524423;2
13_71;3.28446123678797;-2.5152220677303805;2
13_72;2.942131903655083;-1.0167686785804066;2
14_01;-0.08193619464739112;2.0881514344671666;1
14_02;-0.41091300842208667;1.3464186959345124;1
14_03;-0.7915704802307284;3.1458963854413917;1
14_04;0.27853578805929075;1.5921371097719244;1
14_05;-0.2653413656275133;2.8379026726497223;1
14_06;-0.6963896107587448;2.8657627173711573;1
14_07;-0.7241280365185617;1.3020127118094864;1
14_08;-0.2445834680873997;2.185632374315166;1
14_09;-0.020902855543215536;2.2592011566783596;1
14_10;1.5652709475328535;-1.2975975547341674;2
14_11;-1.0773765809210811;1.2965313198974642;1
14_12;-0.8588836198797958;0.18716402482252237;1
14_13;-0.00031702273773233673;1.3790691725046305;1
14_14;-0.9138610423258007;0.32900905927465085;1
14_15;1.7684368739652745;-0.4773330659663953;2
14_16;0.09187469228699724;-0.11985555140755269;1
14_17;0.46515111938459175;2.124010514005658;1
14_18;2.042452805928872;1.3226488973150816;1
14_19;2.6775287070282094;0.9749264571398248;1
14_20;2.2100595634023863;-2.6141418615070164;2
14_21;2.9603416045177027;-6.0016930387949605;2
14_22;2.088889249428758;-1.0463394787828793;2
14_23;1.616956323104251;0.38130196500023955;1
14_24;1.1831296679147956;2.339741241282284;1
14_25;0.570782340915715;1.7733492567771771;1
14_26;-1.261236412814614;0.5114225756526287;1
14_27;-2.486647734428953;0.41263323094140775;0
14_28;-1.6577303441194082;2.4082616869290483;1
14_29;0.3283457736019806;2.9363010651844927;1
14_30;-1.4656574690898398;0.6301377249515503;1
14_31;-1.7723680648021252;2.220384171217934;1
14_32;-1.198577148811509;1.1142647096519585;1
14_33;-1.6313602838617103;1.373500263825759;1
14_34;0.49237516513030793;1.3770177187135244;1
14_35;0.25967397380019114;0.6379225868387507;1
14_36;0.7129468508386576;-1.246471692680589;2
14_37;0.9966960672319228;0.247685084266225;1
14_38;0.5231370177267868;1.3540777504013575;1
14_39;1.6699795589071411;-0.46465404463846116;1
14_40;0.4269201381073449;0.8095439029976043;1
14_41;1.120269800285536;-0.14886259504960467;1
14_42;0.8255486046769618;0.6675287129313882;1
14_43;0.1600026413292254;0.14191332674288007;1
14_44;1.8943734736133226;-4.34158813280106;2
14_45;2.232221089376344;-4.1714390942864625;2
14_46;0.10598892010065401;1.769845410119465;1
14_47;1.2472965503353515;-2.3264524610559283;2
14_48;1.1498195133942488;-1.8944045694654013;2
14_49;1.7011403911935354;-0.3386273502964186;1
14_50;-0.1903457610837846;1.8222531738632395;1
14_51;1.8335562203478628;-3.5676045958176505;2
14_52;2.474427748942239;-4.50091995814279;2
14_53;1.7628546219019914;-4.017082903852463;2
14_54;1.8077782391898223;-2.577618170051689;2
14_55;2.227552644061465;-2.1121429721113683;2
14_56;1.8358836193609518;-5.411979399464544;2
14_57;2.470901448358441;-5.733815528827221;2
14_58;1.1149275403768302;-2.044567957594303;2
15_01;-1.9720577755725708;0.42319933611504695;0
15_02;-2.6501067446102238;0.13560635548475375;0
15_03;-1.3191922178355064;-0.6675976711380448;0
15_04;-1.6165312202267503;0.20676419334067592;0
15_05;-0.9096428583787504;-0.8451618858862602;1
15_06;-1.6015995957486837;0.10693482444784384;0
15_07;-2.3363601620849885;0.34459656997186494;0
15_08;-2.4630156067080047;1.6007221806897003;0
15_09;-1.8479623953503241;-0.7330719798789868;0
15_10;-0.9896647579805752;-2.226411254439765;0
15_11;-2.236120226597571;-0.38705107757585816;0
15_12;-2.3666686847015592;0.43558772799682804;0
15_13;-1.0066863168382703;0.5598302927552202;1
15_14;-2.190136740753275;-1.5204541185738536;0
15_15;-2.848535405989523;-2.696683885524326;0
15_16;-3.3769633737374734;-2.0366816227892035;0
