id_bv;v_D_EUR; p_D_EUR ;v_D_LEG; p_D_EUR ; ecart_D ;nb_LR;nb_RN;nb_Rec;nb_autreDroite;nb_extDroite;partie_dominant
07_14;376; 0,4220 ; 329 ; 0,3157 ;-47;193;88;78;1;16;Les Républicains
07_15;397; 0,4179 ; 296 ; 0,2711 ;-101;186;105;86;8;12;Les Républicains
07_16;397; 0,4206 ; 285 ; 0,2524 ;-112;208;97;80;1;11;Les Républicains
07_17;313; 0,3908 ; 265 ; 0,2693 ;-48;130;93;75;1;14;Les Républicains
07_18;344; 0,3995 ; 279 ; 0,2680 ;-65;136;99;89;1;19;Les Républicains
07_19;359; 0,4585 ; 296 ; 0,3256 ;-63;155;97;89;6;12;Les Républicains
07_20;365; 0,4790 ; 284 ; 0,3005 ;-81;197;80;75;3;10;Les Républicains
07_21;470; 0,4786 ; 334 ; 0,2964 ;-136;232;113;113;5;7;Les Républicains
07_22;386; 0,4886 ; 285 ; 0,2944 ;-101;178;100;89;4;15;Les Républicains
07_23;369; 0,4887 ; 281 ; 0,3211 ;-88;176;75;104;1;13;Les Républicains
07_24;361; 0,5372 ; 270 ; 0,3289 ;-91;193;66;94;2;6;Les Républicains
07_25;376; 0,4980 ; 278 ; 0,2992 ;-98;208;83;77;2;6;Les Républicains
08_01;465; 0,4764 ; 413 ; 0,3479 ;-52;206;111;141;3;4;Les Républicains
08_02;419; 0,5042 ; 339 ; 0,3330 ;-80;208;94;107;3;7;Les Républicains
08_03;456; 0,4555 ; 388 ; 0,3431 ;-68;239;79;122;3;13;Les Républicains
08_04;427; 0,4869 ; 376 ; 0,3527 ;-51;218;86;119;1;3;Les Républicains
08_05;458; 0,4137 ; 372 ; 0,2929 ;-86;270;95;82;1;10;Les Républicains
08_06;372; 0,3761 ; 313 ; 0,2753 ;-59;177;85;88;6;16;Les Républicains
08_07;353; 0,3474 ; 296 ; 0,2465 ;-57;186;84;67;7;9;Les Républicains
08_08;295; 0,3076 ; 288 ; 0,2466 ;-7;153;57;68;4;13;Les Républicains
08_09;454; 0,4046 ; 396 ; 0,3087 ;-58;232;108;98;5;11;Les Républicains
08_10;264; 0,4513 ; 247 ; 0,3276 ;-17;129;67;61;1;6;Les Républicains
08_11;275; 0,3940 ; 258 ; 0,3090 ;-17;123;60;79;3;10;Les Républicains
08_12;346; 0,4657 ; 356 ; 0,3969 ;10;131;118;90;2;5;Les Républicains
08_13;367; 0,4400 ; 314 ; 0,3063 ;-53;157;99;99;0;12;Les Républicains
08_14;419; 0,4959 ; 372 ; 0,3493 ;-47;179;104;126;2;8;Les Républicains
08_15;458; 0,5011 ; 396 ; 0,3492 ;-62;222;102;118;4;12;Les Républicains
08_16;526; 0,5127 ; 420 ; 0,3587 ;-106;259;106;142;4;15;Les Républicains
08_17;216; 0,5035 ; 204 ; 0,3778 ;-12;83;66;63;1;3;Les Républicains
08_18;262; 0,5634 ; 241 ; 0,4099 ;-21;110;65;74;3;10;Les Républicains
09_01;204; 0,2560 ; 176 ; 0,1843 ;-28;84;63;44;2;11;Les Républicains
09_02;172; 0,1822 ; 147 ; 0,1295 ;-25;68;59;36;3;6;Les Républicains
09_03;261; 0,2794 ; 191 ; 0,1708 ;-70;103;89;56;4;9;Les Républicains
09_04;201; 0,2127 ; 188 ; 0,1659 ;-13;89;55;49;4;4;Les Républicains
09_05;201; 0,2118 ; 179 ; 0,1544 ;-22;93;45;52;3;8;Les Républicains
09_06;230; 0,2635 ; 197 ; 0,1826 ;-33;102;59;59;1;9;Les Républicains
09_07;264; 0,3280 ; 241 ; 0,2356 ;-23;108;66;75;4;11;Les Républicains
09_08;257; 0,2462 ; 213 ; 0,1733 ;-44;135;52;53;6;11;Les Républicains
09_09;245; 0,2704 ; 185 ; 0,1755 ;-60;120;60;51;1;13;Les Républicains
09_10;267; 0,2582 ; 211 ; 0,1745 ;-56;134;76;52;1;4;Les Républicains
09_11;205; 0,2056 ; 158 ; 0,1357 ;-47;95;65;30;3;12;Les Républicains
09_12;203; 0,2106 ; 168 ; 0,1496 ;-35;97;65;38;0;3;Les Républicains
09_13;192; 0,1996 ; 168 ; 0,1421 ;-24;70;80;36;1;5;Rassemblement National
09_14;256; 0,2349 ; 186 ; 0,1476 ;-70;127;58;53;4;14;Les Républicains
09_15;223; 0,2304 ; 188 ; 0,1649 ;-35;112;61;38;4;8;Les Républicains
09_16;215; 0,2297 ; 196 ; 0,1769 ;-19;107;57;41;1;9;Les Républicains
09_17;268; 0,2916 ; 213 ; 0,1935 ;-55;126;60;70;3;9;Les Républicains
09_18;213; 0,2115 ; 186 ; 0,1578 ;-27;76;75;47;2;13;Les Républicains
09_19;202; 0,2138 ; 175 ; 0,1570 ;-27;68;67;45;3;19;Les Républicains
09_20;276; 0,2766 ; 203 ; 0,1723 ;-73;119;91;57;1;8;Les Républicains
09_21;268; 0,2707 ; 200 ; 0,1642 ;-68;122;78;58;3;7;Les Républicains
09_22;220; 0,2407 ; 182 ; 0,1640 ;-38;100;49;52;6;13;Les Républicains
09_23;212; 0,2451 ; 177 ; 0,1686 ;-35;104;60;31;1;16;Les Républicains
09_24;199; 0,2045 ; 176 ; 0,1549 ;-23;89;61;35;3;11;Les Républicains
09_25;187; 0,1851 ; 209 ; 0,1702 ;22;74;53;49;0;11;Les Républicains
09_26;238; 0,2345 ; 168 ; 0,1405 ;-70;99;79;41;4;15;Les Républicains
09_27;175; 0,1659 ; 162 ; 0,1311 ;-13;54;58;41;4;18;Rassemblement National
10_01;163; 0,1532 ; 126 ; 0,1021 ;-37;66;44;41;0;12;Les Républicains
10_02;148; 0,1423 ; 118 ; 0,0974 ;-30;50;62;27;2;7;Rassemblement National
10_03;154; 0,1514 ; 146 ; 0,1200 ;-8;61;46;37;1;9;Les Républicains
10_04;102; 0,1206 ; 93 ; 0,0902 ;-9;31;40;22;4;5;Rassemblement National
10_05;140; 0,1620 ; 116 ; 0,1104 ;-24;47;41;42;4;6;Les Républicains
10_06;171; 0,1808 ; 123 ; 0,1102 ;-48;68;56;34;1;12;Les Républicains
10_07;109; 0,1396 ; 81 ; 0,0828 ;-28;45;38;19;1;6;Les Républicains
10_08;155; 0,1524 ; 149 ; 0,1222 ;-6;38;68;35;3;11;Rassemblement National
10_09;224; 0,2240 ; 231 ; 0,1875 ;7;78;79;46;9;12;Rassemblement National
10_10;128; 0,1257 ; 123 ; 0,1042 ;-5;29;50;38;4;7;Rassemblement National
10_11;136; 0,1398 ; 117 ; 0,1001 ;-19;34;56;30;6;10;Rassemblement National
10_12;89; 0,0912 ; 81 ; 0,0686 ;-8;27;36;15;2;9;Rassemblement National
10_13;107; 0,1178 ; 107 ; 0,0917 ;0;26;50;20;2;9;Rassemblement National
10_14;96; 0,0950 ; 98 ; 0,0798 ;2;26;33;22;2;13;Rassemblement National
10_15;135; 0,1519 ; 123 ; 0,1158 ;-12;22;62;36;3;12;Rassemblement National
10_16;127; 0,1435 ; 107 ; 0,1000 ;-20;41;39;32;2;13;Les Républicains
10_17;256; 0,3668 ; 210 ; 0,2386 ;-46;64;103;71;4;14;Rassemblement National
10_18;144; 0,1941 ; 118 ; 0,1246 ;-26;46;60;26;1;11;Rassemblement National
10_19;148; 0,2005 ; 132 ; 0,1493 ;-16;36;67;37;2;6;Rassemblement National
10_20;118; 0,1481 ; 95 ; 0,0991 ;-23;40;43;23;2;10;Rassemblement National
10_21;138; 0,1806 ; 129 ; 0,1291 ;-9;39;49;34;3;13;Rassemblement National
10_22;135; 0,1387 ; 129 ; 0,1090 ;-6;42;54;27;4;8;Rassemblement National
10_23;109; 0,1302 ; 83 ; 0,0844 ;-26;41;34;24;3;7;Les Républicains
10_24;135; 0,1713 ; 120 ; 0,1220 ;-15;49;50;27;2;7;Rassemblement National
10_25;134; 0,1624 ; 134 ; 0,1354 ;0;23;64;34;3;10;Rassemblement National
10_26;109; 0,1333 ; 121 ; 0,1244 ;12;31;54;18;0;6;Rassemblement National
10_27;103; 0,1198 ; 106 ; 0,1005 ;3;33;39;19;0;12;Rassemblement National
10_28;176; 0,1962 ; 159 ; 0,1520 ;-17;62;60;41;6;7;Les Républicains
10_29;170; 0,1714 ; 140 ; 0,1217 ;-30;66;48;45;3;8;Les Républicains
10_30;151; 0,1629 ; 140 ; 0,1261 ;-11;57;44;35;4;11;Les Républicains
10_31;137; 0,1832 ; 110 ; 0,1180 ;-27;54;48;26;3;6;Les Républicains
10_32;114; 0,1420 ; 82 ; 0,0833 ;-32;30;46;24;1;13;Rassemblement National
10_33;136; 0,1478 ; 107 ; 0,0995 ;-29;51;44;35;2;4;Les Républicains
10_34;204; 0,2287 ; 197 ; 0,1750 ;-7;69;85;42;4;4;Rassemblement National
10_35;171; 0,1979 ; 124 ; 0,1190 ;-47;73;51;30;3;14;Les Républicains
10_36;105; 0,1135 ; 116 ; 0,1011 ;11;38;30;30;4;3;Les Républicains
10_37;141; 0,1749 ; 130 ; 0,1299 ;-11;60;46;18;2;15;Les Républicains
10_38;144; 0,1378 ; 115 ; 0,0902 ;-29;63;37;31;1;12;Les Républicains
10_39;141; 0,1397 ; 140 ; 0,1141 ;-1;46;48;27;2;18;Rassemblement National
11_01;174; 0,1547 ; 162 ; 0,1166 ;-12;52;68;43;1;10;Rassemblement National
11_02;219; 0,2074 ; 183 ; 0,1465 ;-36;91;77;37;4;10;Les Républicains
11_03;153; 0,1607 ; 132 ; 0,1119 ;-21;45;58;34;5;11;Rassemblement National
11_04;193; 0,1797 ; 163 ; 0,1253 ;-30;87;57;34;5;10;Les Républicains
11_05;189; 0,1686 ; 161 ; 0,1175 ;-28;59;82;35;3;10;Rassemblement National
11_06;202; 0,1800 ; 160 ; 0,1227 ;-42;62;82;39;4;15;Rassemblement National
11_07;157; 0,1602 ; 159 ; 0,1311 ;2;66;41;38;6;6;Les Républicains
11_08;161; 0,1640 ; 150 ; 0,1247 ;-11;59;57;36;2;7;Les Républicains
11_09;174; 0,1563 ; 138 ; 0,1038 ;-36;62;58;41;1;12;Les Républicains
11_10;195; 0,1912 ; 154 ; 0,1245 ;-41;55;80;49;2;9;Rassemblement National
11_11;174; 0,1461 ; 151 ; 0,1020 ;-23;65;66;35;1;7;Rassemblement National
11_12;164; 0,1481 ; 151 ; 0,1146 ;-13;66;49;37;1;11;Les Républicains
11_13;131; 0,1187 ; 125 ; 0,0922 ;-6;31;62;31;1;6;Rassemblement National
11_14;192; 0,1585 ; 179 ; 0,1243 ;-13;67;69;39;4;13;Rassemblement National
11_15;242; 0,2114 ; 179 ; 0,1339 ;-63;93;74;55;5;15;Les Républicains
11_16;235; 0,2196 ; 183 ; 0,1485 ;-52;104;66;52;2;11;Les Républicains
11_17;210; 0,2027 ; 164 ; 0,1308 ;-46;97;60;36;3;14;Les Républicains
11_18;200; 0,1957 ; 159 ; 0,1275 ;-41;75;70;45;1;9;Les Républicains
11_19;176; 0,1866 ; 138 ; 0,1211 ;-38;78;48;38;3;9;Les Républicains
11_20;195; 0,1755 ; 153 ; 0,1145 ;-42;75;73;33;5;9;Les Républicains
11_21;160; 0,1558 ; 145 ; 0,1208 ;-15;57;51;40;1;11;Les Républicains
11_22;190; 0,1683 ; 177 ; 0,1321 ;-13;72;63;38;2;15;Les Républicains
11_23;146; 0,1385 ; 123 ; 0,0955 ;-23;52;54;29;3;8;Rassemblement National
11_24;171; 0,1497 ; 139 ; 0,1006 ;-32;73;56;33;2;7;Les Républicains
11_25;205; 0,1775 ; 182 ; 0,1317 ;-23;82;73;33;3;14;Les Républicains
11_26;233; 0,1978 ; 176 ; 0,1265 ;-57;107;67;48;2;9;Les Républicains
11_27;145; 0,1203 ; 137 ; 0,0974 ;-8;47;55;29;4;10;Rassemblement National
