id_bv;total_G_EUR;total_G_LEG;ecart_voix_G;p_G_EUR;p_G_LEG;nb_PS;nb_EELV;nb_PCF;nb_LFI;autresGauche;ExtGauche;partie_dominant
17_50;219;159;-60;0,2082;0,1279;115;61;5;36;2;0;Partie Socialiste
17_51;209;189;-20;0,2059;0,1596;119;40;4;43;3;0;Partie Socialiste
17_52;250;224;-26;0,2483;0,1882;118;53;3;68;6;2;Partie Socialiste
17_53;229;185;-44;0,2183;0,1484;112;60;2;54;0;1;Partie Socialiste
17_54;253;214;-39;0,2414;0,1707;142;49;4;49;8;1;Partie Socialiste
17_55;271;230;-41;0,2601;0,1843;154;60;3;51;3;0;Partie Socialiste
17_56;310;259;-51;0,3308;0,2250;168;71;4;62;4;1;Partie Socialiste
17_57;327;376;49;0,4012;0,3650;119;41;7;157;2;1;La France Insoumise
17_58;290;332;42;0,3602;0,3388;118;42;4;118;3;5;La France Insoumise
17_59;225;235;10;0,2669;0,2271;103;38;2;74;4;4;Partie Socialiste
17_60;238;192;-46;0,282;0,1808;115;49;7;63;4;0;Partie Socialiste
17_61;240;185;-55;0,2467;0,1596;116;52;6;60;5;1;Partie Socialiste
17_62;267;230;-37;0,27;0,2039;143;52;9;60;3;0;Partie Socialiste
17_63;244;205;-39;0,2745;0,1925;128;40;5;65;5;1;Partie Socialiste
17_64;256;210;-46;0,2765;0,1902;127;62;1;61;4;1;Partie Socialiste
17_65;207;181;-26;0,224;0,1632;102;51;1;49;4;0;Partie Socialiste
17_66;325;282;-43;0,3075;0,2231;155;68;6;89;5;2;Partie Socialiste
17_67;229;206;-23;0,2325;0,1675;124;48;9;44;3;1;Partie Socialiste
17_68;596;623;27;0,5628;0,4906;227;94;12;251;9;3;La France Insoumise
17_69;320;390;70;0,5993;0,5424;106;47;11;149;3;4;La France Insoumise
18_01;604;605;1;0,612;0,5029;314;127;14;141;4;4;Partie Socialiste
18_02;643;591;-52;0,6379;0,4797;319;143;10;158;7;6;Partie Socialiste
18_03;512;474;-38;0,5209;0,4122;297;95;10;106;4;0;Partie Socialiste
18_04;758;752;-6;0,6391;0,5237;358;171;18;184;16;11;Partie Socialiste
18_05;499;483;-16;0,599;0,4745;246;122;17;104;5;5;Partie Socialiste
18_06;584;577;-7;0,654;0,5377;264;132;14;162;5;7;Partie Socialiste
18_07;633;641;8;0,6948;0,6036;257;131;17;214;8;6;Partie Socialiste
18_08;685;660;-25;0,7121;0,5919;266;171;15;215;13;5;Partie Socialiste
18_09;675;685;10;0,667;0,5515;289;162;15;200;5;4;Partie Socialiste
18_10;732;821;89;0,7349;0,6547;264;191;32;234;4;7;Partie Socialiste
18_11;677;723;46;0,6894;0,6081;261;154;16;234;8;4;Partie Socialiste
18_12;485;654;169;0,6545;0,6181;137;73;18;245;7;5;La France Insoumise
18_13;399;584;185;0,7241;0,7337;87;43;18;238;5;8;La France Insoumise
18_14;736;879;143;0,7419;0,6982;213;153;20;323;10;17;La France Insoumise
18_15;592;697;105;0,73;0,6741;204;123;20;234;4;7;La France Insoumise
18_16;640;772;132;0,7033;0,6466;209;114;18;287;8;4;La France Insoumise
18_17;832;933;101;0,7732;0,7106;313;160;29;315;9;6;La France Insoumise
18_18;925;983;58;0,7619;0,6633;372;218;13;302;7;13;Partie Socialiste
18_19;810;837;27;0,705;0,5903;362;186;16;232;8;6;Partie Socialiste
18_20;783;847;64;0,7177;0,6223;349;158;26;235;6;9;Partie Socialiste
18_21;708;734;26;0,6801;0,5770;321;160;18;195;10;4;Partie Socialiste
18_22;590;541;-49;0,6689;0,5047;281;116;13;172;4;4;Partie Socialiste
18_23;589;581;-8;0,6129;0,4957;268;137;15;150;12;7;Partie Socialiste
18_24;674;634;-40;0,6487;0,5012;355;115;17;173;8;6;Partie Socialiste
18_25;576;443;-133;0,5388;0,3649;335;131;12;93;2;3;Partie Socialiste
18_26;579;598;19;0,6498;0,5431;264;143;16;152;2;2;Partie Socialiste
18_27;571;575;4;0,6459;0,5242;261;120;14;165;8;3;Partie Socialiste
18_28;722;652;-70;0,615;0,4641;370;177;16;151;5;3;Partie Socialiste
18_29;607;573;-34;0,57;0,4512;320;132;7;140;5;3;Partie Socialiste
18_30;666;660;-6;0,6104;0,4874;313;161;14;163;10;5;Partie Socialiste
18_31;706;728;22;0,6139;0,5066;338;167;5;181;8;7;Partie Socialiste
18_32;653;660;7;0,5894;0,4882;288;131;19;200;7;8;Partie Socialiste
18_33;562;578;16;0,5723;0,4833;263;129;13;149;5;3;Partie Socialiste
18_34;580;567;-13;0,5882;0,4595;291;115;13;145;12;4;Partie Socialiste
18_35;571;484;-87;0,5517;0,3987;310;117;16;113;7;8;Partie Socialiste
18_36;644;601;-43;0,6592;0,5089;313;158;20;140;10;3;Partie Socialiste
18_37;594;581;-13;0,6111;0,4798;304;135;14;128;10;3;Partie Socialiste
18_38;632;722;90;0,6019;0,5550;283;166;7;165;6;5;Partie Socialiste
18_39;660;739;79;0,6268;0,5715;293;126;19;211;9;2;Partie Socialiste
18_40;591;619;28;0,5727;0,5158;286;125;15;153;5;7;Partie Socialiste
18_41;581;618;37;0,604;0,5508;232;107;22;201;10;9;Partie Socialiste
18_42;514;695;181;0,6097;0,6244;196;97;10;195;10;6;Partie Socialiste
18_43;524;666;142;0,5835;0,5663;203;64;15;227;10;5;La France Insoumise
18_44;261;434;173;0,5892;0,6430;50;16;12;177;2;4;La France Insoumise
18_45;501;674;173;0,6752;0,6747;153;78;19;242;3;6;La France Insoumise
18_46;528;594;66;0,6055;0,5604;246;90;16;170;4;2;Partie Socialiste
18_47;557;588;31;0,6592;0,5676;277;130;11;130;5;4;Partie Socialiste
18_48;593;710;117;0,7376;0,7121;235;145;14;183;9;7;Partie Socialiste
18_49;282;495;213;0,6589;0,7247;45;19;10;204;2;2;La France Insoumise
18_50;259;418;159;0,6379;0,6786;45;13;5;185;0;11;La France Insoumise
18_51;612;913;301;0,7365;0,7351;106;43;7;446;2;8;La France Insoumise
18_52;817;905;88;0,7441;0,6919;247;195;16;340;12;7;La France Insoumise
18_53;611;715;104;0,7618;0,7044;190;125;21;261;4;10;La France Insoumise
18_54;534;673;139;0,7469;0,7160;177;104;20;215;5;13;La France Insoumise
18_55;772;904;132;0,8178;0,7834;224;181;30;320;4;13;La France Insoumise
18_56;634;896;262;0,8244;0,7853;161;74;11;376;4;8;La France Insoumise
18_57;793;985;192;0,8067;0,7861;235;160;12;366;14;6;La France Insoumise
18_58;726;910;184;0,7934;0,7596;194;139;13;363;10;7;La France Insoumise
18_59;651;816;165;0,7677;0,7279;158;114;15;353;4;7;La France Insoumise
18_60;820;890;70;0,7614;0,7063;267;158;20;354;7;14;La France Insoumise
18_61;753;855;102;0,739;0,6764;225;183;19;312;7;7;La France Insoumise
18_62;663;777;114;0,7492;0,7038;176;117;25;331;8;6;La France Insoumise
18_63;632;788;156;0,703;0,6667;142;103;23;357;3;4;La France Insoumise
18_64;588;754;166;0,7529;0,7181;110;69;15;389;4;1;La France Insoumise
18_65;329;556;227;0,5742;0,6157;61;21;7;236;2;2;La France Insoumise
18_66;625;636;11;0,6457;0,5441;313;124;13;164;5;6;Partie Socialiste
18_67;613;708;95;0,6656;0,6407;265;123;13;195;11;6;Partie Socialiste
18_68;592;719;127;0,7968;0,7329;190;116;14;259;9;4;La France Insoumise
19_01;591;641;50;0,6459;0,5941;233;131;9;210;4;4;Partie Socialiste
19_02;656;737;81;0,7241;0,6670;234;157;15;243;4;3;La France Insoumise
19_03;389;434;45;0,6184;0,5756;130;76;20;154;5;4;La France Insoumise
19_04;552;584;32;0,6891;0,6200;184;122;21;209;9;7;La France Insoumise
19_05;528;531;3;0,609;0,5242;243;114;0;162;2;7;Partie Socialiste
19_06;526;580;54;0,6277;0,5714;217;113;7;181;5;3;Partie Socialiste
19_07;468;476;8;0,5552;0,4818;182;107;23;145;9;2;Partie Socialiste
19_08;420;558;138;0,6563;0,6414;132;79;16;186;2;5;La France Insoumise
19_09;674;802;128;0,6582;0,6515;219;149;18;272;7;9;La France Insoumise
19_10;771;788;17;0,706;0,6284;299;204;13;238;6;11;Partie Socialiste
19_11;763;804;41;0,7315;0,6628;326;173;21;231;6;6;Partie Socialiste
19_12;846;913;67;0,7547;0,6911;329;209;22;272;8;6;Partie Socialiste
19_13;806;820;14;0,7126;0,6337;328;212;24;233;8;1;Partie Socialiste
19_14;756;834;78;0,756;0,6870;258;178;17;297;2;4;La France Insoumise
19_15;702;756;54;0,7193;0,6478;303;164;17;202;8;8;Partie Socialiste
19_16;807;812;5;0,6793;0,6019;322;183;32;248;14;8;Partie Socialiste
19_17;576;630;54;0,6134;0,5560;225;129;15;195;2;10;Partie Socialiste
19_18;251;330;79;0,709;0,6707;62;24;9;152;2;2;La France Insoumise
19_19;336;504;168;0,6802;0,6839;57;19;11;238;7;4;La France Insoumise
19_20;394;572;178;0,6355;0,6515;90;32;23;238;4;7;La France Insoumise
19_21;731;866;135;0,6909;0,6591;233;167;17;307;5;2;La France Insoumise
19_22;434;608;174;0,6556;0,6609;76;35;13;297;9;4;La France Insoumise
19_23;505;649;144;0,6273;0,6146;160;89;16;224;8;8;La France Insoumise
19_24;461;569;108;0,5588;0,5482;146;68;17;224;2;4;La France Insoumise
19_25;613;651;38;0,6186;0,5550;282;129;7;177;10;8;Partie Socialiste
19_26;555;593;38;0,6328;0,5825;223;123;14;182;8;5;Partie Socialiste
19_27;760;913;153;0,6847;0,6758;234;141;24;349;8;4;La France Insoumise
19_28;800;783;-17;0,7333;0,6151;289;147;19;261;78;6;Partie Socialiste
19_29;571;702;131;0,6423;0,6285;175;120;14;241;9;12;La France Insoumise
19_30;742;725;-17;0,6789;0,5875;301;174;18;240;6;3;Partie Socialiste
19_31;728;766;38;0,7459;0,6737;280;167;20;240;11;10;Partie Socialiste
19_32;825;842;17;0,7493;0,6720;350;207;21;233;6;8;Partie Socialiste
19_33;483;592;109;0,6457;0,6192;142;59;20;249;5;8;La France Insoumise
19_34;490;571;81;0,6499;0,5998;194;98;14;173;5;6;Partie Socialiste
19_35;360;517;157;0,678;0,6921;81;63;7;202;4;3;La France Insoumise
19_36;480;570;90;0,621;0,6077;139;88;12;231;4;6;La France Insoumise
19_37;423;550;127;0,6361;0,6118;132;61;13;208;3;6;La France Insoumise
19_38;565;680;115;0,7272;0,6953;152;103;17;285;4;4;La France Insoumise
19_39;569;655;86;0,6798;0,6280;200;102;21;233;4;9;La France Insoumise
19_40;477;623;146;0,6472;0,6530;149;81;7;226;6;8;La France Insoumise
19_41;471;607;136;0,6197;0,6264;128;49;10;280;1;3;La France Insoumise
19_42;344;491;147;0,6992;0,6867;64;32;8;235;1;4;La France Insoumise
19_43;358;506;148;0,6359;0,6389;62;30;8;244;6;8;La France Insoumise
19_44;354;509;155;0,5455;0,5624;83;54;12;193;5;7;La France Insoumise
19_45;581;721;140;0,72;0,6719;155;91;13;304;7;11;La France Insoumise
19_46;692;819;127;0,6251;0,5833;225;142;18;294;8;5;La France Insoumise
19_47;631;722;91;0,6168;0,5735;248;106;11;254;7;5;La France Insoumise
19_48;783;916;133;0,7325;0,6716;244;174;12;332;15;6;La France Insoumise
19_49;595;747;152;0,6816;0,6700;135;111;15;315;10;9;La France Insoumise
19_50;579;741;162;0,773;0,7577;104;98;13;339;14;11;La France Insoumise
19_51;456;572;116;0,5831;0,5789;127;67;12;235;9;6;La France Insoumise
19_52;545;673;128;0,6606;0,6157;166;72;13;279;6;9;La France Insoumise
19_53;418;517;99;0,5879;0,5663;115;63;14;212;7;7;La France Insoumise
19_54;614;688;74;0,6907;0,6014;196;143;16;246;7;6;La France Insoumise
19_55;439;621;182;0,6602;0,6649;94;37;9;291;2;6;La France Insoumise
19_56;420;560;140;0,6452;0,6271;93;71;12;233;5;6;La France Insoumise
19_57;290;516;226;0,617;0,6736;50;29;4;203;1;3;La France Insoumise
19_58;740;802;62;0,7327;0,6683;254;192;14;257;14;9;La France Insoumise
19_59;612;685;73;0,674;0,5957;225;156;25;193;4;9;Partie Socialiste
19_60;663;732;69;0,7068;0,6466;265;114;21;253;5;5;Partie Socialiste
19_61;655;746;91;0,7246;0,6643;198;136;18;292;6;5;La France Insoumise
19_62;604;716;112;0,704;0,6623;203;109;11;270;7;4;La France Insoumise
19_63;491;529;38;0,6054;0,5290;179;116;21;161;5;9;Partie Socialiste
19_64;619;672;53;0,6855;0,6104;184;120;9;292;5;9;La France Insoumise
19_65;559;616;57;0,615;0,5595;215;112;13;210;6;3;Partie Socialiste
19_66;583;639;56;0,6414;0,5762;216;148;11;201;4;3;Partie Socialiste
19_67;686;893;207;0,7958;0,7594;135;121;8;410;7;5;La France Insoumise
19_68;539;652;113;0,6471;0,6026;158;78;22;266;9;6;La France Insoumise
19_69;579;708;129;0,7481;0,6996;148;112;9;298;7;5;La France Insoumise
19_70;493;588;95;0,7013;0,6689;129;72;8;271;8;5;La France Insoumise
19_71;293;553;260;0,6736;0,7054;36;17;3;234;1;2;La France Insoumise
20_01;607;654;47;0,6836;0,6258;283;128;16;169;6;5;Partie Socialiste
20_02;478;501;23;0,6382;0,5548;226;90;16;142;2;2;Partie Socialiste
20_03;605;680;75;0,6946;0,6551;248;146;0;198;5;8;Partie Socialiste
20_04;637;705;68;0,6939;0,6614;254;135;20;211;7;10;Partie Socialiste
20_05;664;708;44;0,7109;0,6338;283;162;31;179;5;4;Partie Socialiste
20_06;586;664;78;0,6682;0,6288;210;114;22;224;7;9;La France Insoumise
20_07;530;563;33;0,6992;0,6221;249;105;19;146;7;4;Partie Socialiste
20_08;721;744;23;0,7786;0,6908;289;163;8;219;13;29;Partie Socialiste
20_09;629;768;139;0,7059;0,6975;181;133;23;274;5;13;La France Insoumise
20_10;502;641;139;0,6849;0,7138;115;64;16;296;5;6;La France Insoumise
20_11;695;847;152;0,7818;0,7596;162;123;24;380;5;1;La France Insoumise
20_12;693;724;31;0,7795;0,7147;306;160;23;193;6;5;Partie Socialiste
20_13;824;881;57;0,8063;0,7435;320;197;30;261;7;9;Partie Socialiste
20_14;799;878;79;0,7595;0,7353;343;165;28;245;6;12;Partie Socialiste
20_15;660;697;37;0,7127;0,6526;240;145;34;221;13;7;Partie Socialiste
20_16;668;766;98;0,6417;0,6138;275;151;12;219;5;6;Partie Socialiste
20_17;556;701;145;0,6627;0,6491;204;68;27;242;10;5;La France Insoumise
20_18;442;555;113;0,6397;0,6343;114;55;22;239;8;4;La France Insoumise
20_19;574;643;69;0,626;0,5943;225;118;22;193;8;8;Partie Socialiste
20_20;638;775;137;0,7201;0,7065;178;129;16;301;2;12;La France Insoumise
20_21;443;592;149;0,5891;0,5980;147;52;11;225;3;5;La France Insoumise
20_22;591;675;84;0,6552;0,6164;227;109;11;235;6;3;La France Insoumise
20_23;562;635;73;0,5586;0,5305;232;113;18;186;5;8;Partie Socialiste
20_24;603;620;17;0,6262;0,5526;274;135;24;159;9;2;Partie Socialiste
20_25;759;822;63;0,7522;0,7008;306;168;27;240;10;8;Partie Socialiste
20_26;553;659;106;0,7163;0,6893;191;90;18;234;8;12;La France Insoumise
20_27;550;600;50;0,6315;0,5970;238;99;16;179;15;3;Partie Socialiste
20_28;511;563;52;0,6157;0,5698;201;80;21;199;2;8;Partie Socialiste
20_29;591;655;64;0,6215;0,5796;230;99;14;234;7;7;La France Insoumise
20_30;483;803;320;0,701;0,7533;90;27;14;339;4;9;La France Insoumise
20_31;549;699;150;0,6906;0,6695;175;104;8;247;8;7;La France Insoumise
20_32;524;646;122;0,6437;0,6218;190;92;12;221;4;5;La France Insoumise
20_33;285;461;176;0,6223;0,6475;56;20;10;191;4;4;La France Insoumise
20_34;434;622;188;0,6191;0,6681;102;48;8;264;6;6;La France Insoumise
20_35;331;498;167;0,6029;0,6312;72;22;23;205;1;8;La France Insoumise
20_36;397;562;165;0,665;0,6854;84;40;10;250;11;2;La France Insoumise
20_37;566;712;146;0,7155;0,6913;151;81;15;304;5;10;La France Insoumise
20_38;558;713;155;0,7099;0,7290;160;99;13;271;8;7;La France Insoumise
20_39;377;558;181;0,615;0,6675;58;44;17;249;5;4;La France Insoumise
20_40;490;634;144;0,6226;0,6463;141;87;21;225;6;10;La France Insoumise
20_41;479;642;163;0,6644;0,6737;153;48;18;253;5;2;La France Insoumise
20_42;641;735;94;0,7036;0,6718;217;135;18;256;9;6;La France Insoumise
20_43;888;966;78;0,7406;0,6817;324;196;21;323;12;12;Partie Socialiste
20_44;886;1013;127;0,7477;0,7025;295;184;22;369;9;7;La France Insoumise
20_45;790;925;135;0,6906;0,6787;295;162;23;301;3;6;La France Insoumise
20_46;722;803;81;0,7085;0,6636;273;148;16;272;7;6;Partie Socialiste
20_47;682;815;133;0,7149;0,7002;241;137;17;274;7;6;La France Insoumise
20_48;863;916;53;0,7216;0,6548;362;217;20;254;5;5;Partie Socialiste
20_49;895;982;87;0,733;0,6819;347;221;12;300;8;7;Partie Socialiste
20_50;743;763;20;0,6622;0,5856;318;207;14;189;5;10;Partie Socialiste
20_51;709;740;31;0,6065;0,5498;298;148;22;225;13;3;Partie Socialiste
20_52;533;593;60;0,6484;0,6008;194;96;15;213;8;7;La France Insoumise
20_53;618;668;50;0,6261;0,5839;217;142;28;216;9;6;Partie Socialiste
20_54;510;721;211;0,6929;0,7132;76;62;19;340;5;8;La France Insoumise
20_55;376;516;140;0,6405;0,6136;93;34;9;220;10;10;La France Insoumise
20_56;380;484;104;0,5956;0,5824;107;54;10;199;6;4;La France Insoumise
20_57;521;561;40;0,6202;0,5772;200;101;9;199;4;8;Partie Socialiste
20_58;814;850;36;0,742;0,6672;343;179;15;259;10;8;Partie Socialiste
20_59;819;888;69;0,7024;0,6578;301;194;30;272;9;13;Partie Socialiste
20_60;604;630;26;0,6802;0,6052;256;135;21;182;8;2;Partie Socialiste
20_61;644;712;68;0,7236;0,6723;248;121;17;250;3;5;La France Insoumise
20_62;575;691;116;0,7143;0,6855;158;91;16;293;5;12;La France Insoumise
20_63;499;675;176;0,7404;0,7369;106;58;16;308;3;8;La France Insoumise
20_64;534;605;71;0,7305;0,6798;234;93;7;185;9;6;Partie Socialiste
20_65;582;610;28;0,6775;0,6174;246;141;19;165;10;1;Partie Socialiste
20_66;513;543;30;0,6932;0,6007;223;112;15;158;2;3;Partie Socialiste
20_67;623;689;66;0,7417;0,6856;204;135;23;252;4;5;La France Insoumise
20_68;703;857;154;0,7864;0,7728;218;135;17;314;9;10;La France Insoumise
20_69;707;851;144;0,7829;0,7413;222;165;24;284;7;5;La France Insoumise
20_70;811;886;75;0,7565;0,7139;302;159;29;308;7;6;La France Insoumise
20_71;848;958;110;0,7955;0,7508;253;210;30;329;11;15;La France Insoumise
20_72;745;916;171;0,7712;0,7577;196;133;21;378;7;10;La France Insoumise
20_73;859;935;76;0,791;0,7254;307;195;18;323;5;11;La France Insoumise
20_74;916;993;77;0,8092;0,7523;317;197;28;364;7;3;La France Insoumise
20_75;686;898;212;0,7804;0,7636;142;117;21;386;7;13;La France Insoumise
20_76;892;1094;202;0,7979;0,7737;245;193;23;417;7;7;La France Insoumise
