id_bv;total_G_EUR;total_G_LEG;ecart_voix_G;p_G_EUR;p_G_LEG;nb_PS;nb_EELV;nb_PCF;nb_LFI;autresGauche;ExtGauche;partie_dominant
11_42;555;610;55;0,6469;0,5815;223;116;17;183;8;8;Partie Socialiste
11_43;701;785;84;0,6721;0,6066;295;173;17;200;8;8;Partie Socialiste
11_44;692;679;-13;0,6217;0,5171;300;170;16;190;10;6;Partie Socialiste
11_45;580;553;-27;0,5566;0,4518;291;140;8;133;6;2;Partie Socialiste
11_46;642;742;100;0,6344;0,6018;201;119;19;284;11;8;La France Insoumise
11_47;677;712;35;0,6478;0,5642;254;169;23;219;7;5;Partie Socialiste
11_48;681;630;-51;0,5742;0,4615;311;158;21;177;10;4;Partie Socialiste
11_49;706;733;27;0,6177;0,5491;265;170;10;243;11;7;Partie Socialiste
11_50;802;765;-37;0,6678;0,5654;371;202;25;192;10;2;Partie Socialiste
11_51;701;685;-16;0,6117;0,5205;319;176;20;179;4;3;Partie Socialiste
11_52;780;782;2;0,6621;0,5570;354;204;13;193;11;5;Partie Socialiste
11_53;745;711;-34;0,6052;0,5032;366;188;14;165;7;5;Partie Socialiste
11_54;604;651;47;0,6095;0,5475;270;134;10;176;8;6;Partie Socialiste
11_55;739;724;-15;0,678;0,5485;326;180;24;197;9;3;Partie Socialiste
12_01;412;450;38;0,5827;0,5468;202;81;17;102;8;2;Partie Socialiste
12_02;470;512;42;0,5839;0,5333;213;110;16;120;8;3;Partie Socialiste
12_03;525;555;30;0,5346;0,4684;247;100;26;144;6;2;Partie Socialiste
12_04;450;484;34;0,5226;0,4627;201;87;14;125;12;11;Partie Socialiste
12_05;475;460;-15;0,4867;0,4159;221;103;13;126;6;6;Partie Socialiste
12_06;454;531;77;0,5457;0,5180;185;78;14;170;6;1;Partie Socialiste
12_07;501;498;-3;0,4917;0,4246;253;110;11;121;5;1;Partie Socialiste
12_08;503;580;77;0,5829;0,5604;222;97;15;155;7;7;Partie Socialiste
12_09;520;639;119;0,6025;0,5830;159;94;24;228;6;9;La France Insoumise
12_10;573;610;37;0,6188;0,5491;228;130;21;183;5;6;Partie Socialiste
12_11;458;475;17;0,5545;0,5075;213;100;18;116;6;5;Partie Socialiste
12_12;777;839;62;0,6201;0,5516;325;159;13;262;12;6;Partie Socialiste
12_13;601;629;28;0,6065;0,5427;290;129;11;156;9;6;Partie Socialiste
12_14;408;448;40;0,4684;0,4401;197;82;13;110;3;3;Partie Socialiste
12_15;565;637;72;0,5954;0,5468;217;134;25;182;3;4;Partie Socialiste
12_16;483;475;-8;0,5433;0,4550;272;102;12;88;6;3;Partie Socialiste
12_17;428;444;16;0,4925;0,4400;211;106;7;91;10;3;Partie Socialiste
12_18;596;609;13;0,5984;0,5375;286;145;16;139;7;3;Partie Socialiste
